2026-08-23 13:05:15,866 - INFO - Logging initialized to /home/dali/Documents/ReMow-Rover-Tests/Repeat/Logs/readRecordedRun-2026-08-23_13-05-15.log
2026-08-23 13:05:15,868 - INFO - RoboClaw opened successfully on /dev/serial/by-id/usb-Basicmicro_Inc._USB_Roboclaw_2x15A-if00
2026-08-23 13:05:16,171 - INFO - Encoders reset to zero
2026-08-23 13:05:16,171 - INFO - Starting readRecordedRun with combination: 55
2026-08-23 13:05:16,171 - INFO - Selected most recent recording: 55_20260510-134004_GPSData.csv
2026-08-23 13:05:16,177 - INFO - GREEN_LED initialized on GPIO 17
2026-08-23 13:05:16,179 - INFO - ENU origin from first waypoint: 37.9008713333, -97.66418
2026-08-23 13:05:23,420 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (7.1s)
2026-08-23 13:05:23,625 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (7.4s)
2026-08-23 13:05:23,822 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (7.5s)
2026-08-23 13:05:24,029 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (7.8s)
2026-08-23 13:05:24,219 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (7.9s)
2026-08-23 13:05:24,443 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (8.2s)
2026-08-23 13:05:24,623 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (8.4s)
2026-08-23 13:05:24,822 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (8.5s)
2026-08-23 13:05:25,028 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (8.8s)
2026-08-23 13:05:25,226 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (9.0s)
2026-08-23 13:05:25,424 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (9.2s)
2026-08-23 13:05:25,627 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (9.4s)
2026-08-23 13:05:25,822 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (9.5s)
2026-08-23 13:05:26,029 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (9.8s)
2026-08-23 13:05:26,228 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (10.0s)
2026-08-23 13:05:26,433 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (10.2s)
2026-08-23 13:05:26,636 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (10.4s)
2026-08-23 13:05:26,829 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (10.6s)
2026-08-23 13:05:27,037 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (10.8s)
2026-08-23 13:05:27,233 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (11.0s)
2026-08-23 13:05:27,429 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (11.2s)
2026-08-23 13:05:27,634 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (11.4s)
2026-08-23 13:05:28,029 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (11.8s)
2026-08-23 13:05:28,239 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (12.0s)
2026-08-23 13:05:28,433 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (12.2s)
2026-08-23 13:05:28,634 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (12.4s)
2026-08-23 13:05:28,823 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (12.6s)
2026-08-23 13:05:29,030 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (12.8s)
2026-08-23 13:05:29,224 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (13.0s)
2026-08-23 13:05:29,422 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (13.1s)
2026-08-23 13:05:29,627 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (13.4s)
2026-08-23 13:05:29,824 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (13.6s)
2026-08-23 13:05:30,030 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (13.8s)
2026-08-23 13:05:30,228 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (14.0s)
2026-08-23 13:05:30,429 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (14.2s)
2026-08-23 13:05:30,631 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (14.4s)
