2026-07-26 13:05:33,857 - INFO - Logging initialized to /home/dali/Documents/ReMow-Rover-Tests/Repeat/Logs/readRecordedRun-2026-07-26_13-05-33.log
2026-07-26 13:05:33,857 - INFO - RoboClaw opened successfully on /dev/serial/by-id/usb-Basicmicro_Inc._USB_Roboclaw_2x15A-if00
2026-07-26 13:05:34,161 - INFO - Encoders reset to zero
2026-07-26 13:05:34,161 - INFO - Starting readRecordedRun with combination: 55
2026-07-26 13:05:34,161 - INFO - Selected most recent recording: 55_20260510-134004_GPSData.csv
2026-07-26 13:05:34,165 - INFO - GREEN_LED initialized on GPIO 17
2026-07-26 13:05:34,170 - INFO - ENU origin from first waypoint: 37.9008713333, -97.66418
2026-07-26 13:05:34,242 - INFO - Path model: 42 rows -> 37 points -> 36 segments, 40.7m total, leading dwell 3.0s
2026-07-26 13:05:34,256 - INFO - goto_positions: M1=1100, M2=1100 [Startup - ensuring neutral position]
2026-07-26 13:05:34,256 - INFO - Actuators initialized to neutral (1100)
2026-07-26 13:05:34,256 - INFO - === UNIFIED PATH FOLLOWER INITIALIZED ===
2026-07-26 13:05:34,256 - INFO - First segment: heading 3.8°, length 0.67m; path ends at (2.81E, 0.81N)
2026-07-26 13:05:34,256 - INFO - Initial state: FOLLOWING_PATH (follower mode ACQUIRE)
2026-07-26 13:05:34,256 - INFO - Acquire timeout: 300.0s
2026-07-26 13:05:34,256 - INFO - === WAITING FOR GPS RTK FIX ===
2026-07-26 13:05:34,256 - INFO - Need: relPosValid=1, carrSoln=2, relPosHeadingValid=1 (timeout: 60.0s)
2026-07-26 13:05:34,281 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.0s)
2026-07-26 13:05:34,481 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.2s)
2026-07-26 13:05:34,680 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.4s)
2026-07-26 13:05:34,879 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.6s)
2026-07-26 13:05:35,094 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (0.8s)
