timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,lookahead_east,lookahead_north,cross_track_error,alpha_deg,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed
2026-07-18 09:56:35,FOLLOW_ACQUIRE,37.9008403333,-97.6642245,-3.4408317088711335,-3.9138015213941952,67.84113,3.7,0.004115552,0.00,2.00,0,0.14,1.99,5.211,-31.1,6.56,1.070,3.28,LEFT,622,508,1094,1097,,inf,0.0,0.956,1.184,1.013,1.127
2026-07-18 09:56:35,FOLLOW_ACQUIRE,37.9008403333,-97.6642246667,-3.4408317023182584,-3.9284628854747243,67.99476,3.7,0.009259992,0.00,2.00,0,0.14,1.99,5.222,-31.2,6.56,1.070,3.28,LEFT,622,508,1092,1095,,inf,0.0,0.956,1.184,1.013,1.127
2026-07-18 09:56:36,FOLLOW_ACQUIRE,37.9008403333,-97.6642245,-3.4408317088711335,-3.9138015213941952,67.90923,3.7,0.000514444,0.00,2.00,0,0.14,1.99,5.211,-31.2,6.55,1.070,3.27,LEFT,622,508,1037,1039,-21.70,inf,0.0,0.956,1.184,1.013,1.127
2026-07-18 09:56:36,FOLLOW_ACQUIRE,37.9008403333,-97.6642246667,-3.4408317023182584,-3.9284628854747243,68.22579,3.7,0.0061733280000000005,0.00,2.00,0,0.14,1.99,5.222,-31.4,6.52,1.070,3.26,LEFT,622,508,949,947,53.20,inf,0.0,0.955,1.185,1.013,1.127
2026-07-18 09:56:36,FOLLOW_ACQUIRE,37.9008403333,-97.6642246667,-3.4408317023182584,-3.9284628854747243,68.4704,3.7,0.011317767999999999,0.00,2.00,0,0.14,1.99,5.222,-31.6,6.47,1.070,3.24,LEFT,623,507,853,845,21.96,inf,0.0,0.954,1.186,1.012,1.128
2026-07-18 09:56:36,FOLLOW_ACQUIRE,37.9008405,-97.6642245,-3.4223289090246487,-3.9138015125387593,67.91089,3.7,0.089513256,0.00,2.00,0,0.14,1.99,5.199,-31.1,6.55,1.070,3.28,LEFT,622,508,760,747,18.66,inf,0.0,0.956,1.184,1.013,1.127
2026-07-18 09:56:36,FOLLOW_ACQUIRE,37.900841,-97.6642238333,-3.366831636074999,-3.8551648234365463,66.69525,3.7,0.385833,0.00,2.00,0,0.14,1.99,5.118,-30.0,6.69,1.070,3.34,LEFT,621,509,668,649,16.27,3.64,0.0,0.958,1.182,1.014,1.126
2026-07-18 09:56:37,FOLLOW_ACQUIRE,37.9008413333,-97.664222,-3.3298372097242153,-3.693924980754419,66.59123,3.7,0.760348232,0.00,2.00,0,0.14,1.99,4.973,-30.8,6.40,1.070,3.20,LEFT,623,506,638,553,4.15,84.56,0.0,0.953,1.187,1.012,1.129
2026-07-18 09:56:37,FOLLOW_ACQUIRE,37.9008421667,-97.6642203333,-3.2373343739628595,-3.5473376842511044,66.90768,3.7,0.839058164,0.00,2.00,0,0.14,1.99,4.802,-31.7,6.09,1.070,3.04,LEFT,627,503,633,522,3.30,28.85,0.0,0.947,1.193,1.008,1.132
2026-07-18 09:56:37,FOLLOW_ACQUIRE,37.9008431667,-97.6642178333,-3.1263398654202956,-3.3274611550058735,65.6803,3.7,1.143609012,0.00,2.00,0,0.14,1.99,4.566,-31.6,5.91,1.070,2.95,LEFT,628,502,633,513,3.07,10.80,0.0,0.943,1.197,1.007,1.133
