timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,dist_to_start,heading_diff_to_target,bearing_to_start,offset_distance,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position
2026-06-07 16:47:59,DRIVE_TO_START,37.9008396667,-97.6641688333,-3.5148215847586446,0.9821179303939133,4.23771,1.8,0.004115552,3.649,2.5,344.4,,5.37,1.000,5.37,LEFT,810,781,1092,1096
2026-06-07 16:47:59,DRIVE_TO_START,37.9008396667,-97.6641688333,-3.5148215847586446,0.9821179303939133,4.07825,1.8,0.010803324000000001,3.649,2.3,344.4,,5.42,1.000,5.42,LEFT,810,781,1088,1090
2026-06-07 16:47:59,DRIVE_TO_START,37.9008396667,-97.6641688333,-3.5148215847586446,0.9821179303939133,4.12048,1.8,0.00257222,3.649,2.4,344.4,,5.40,1.000,5.40,LEFT,810,781,1039,1042
2026-06-07 16:47:59,DRIVE_TO_START,37.9008396667,-97.6641688333,-3.5148215847586446,0.9821179303939133,4.06321,1.8,0.00514444,3.649,2.3,344.4,,5.42,1.000,5.42,LEFT,810,781,943,940
2026-06-07 16:48:00,DRIVE_TO_START,37.9008396667,-97.6641688333,-3.5148215847586446,0.9821179303939133,4.40314,1.8,0.010803324000000001,3.649,2.6,344.4,,5.33,1.000,5.33,LEFT,810,781,844,829
2026-06-07 16:48:00,DRIVE_TO_START,37.9008396667,-97.6641688333,-3.5148215847586446,0.9821179303939133,4.43227,1.8,0.050929956000000005,3.649,2.7,344.4,,5.32,1.000,5.32,LEFT,810,781,825,794
2026-06-07 16:48:00,DRIVE_TO_START,37.9008401667,-97.6641688333,-3.4593242843507293,0.982117923730695,3.1684,1.8,0.23355757600000002,3.596,1.4,344.2,,5.52,1.000,5.52,LEFT,809,781,820,787
2026-06-07 16:48:00,DRIVE_TO_START,37.9008406667,-97.6641688333,-3.403826983892067,0.9821179170498128,2.51884,1.8,0.225840916,3.543,0.8,343.9,,5.55,1.000,5.55,LEFT,809,781,819,787
2026-06-07 16:48:00,DRIVE_TO_START,37.9008411667,-97.6641688333,-3.348329683275057,0.9821179103777626,1.52141,1.8,0.288603084,3.489,0.2,343.7,,5.69,1.000,5.69,LEFT,809,782,819,787
2026-06-07 16:48:01,DRIVE_TO_START,37.9008416667,-97.6641688333,-3.292832381872418,0.9821179036880485,0.17099,1.8,0.258765332,3.436,1.6,343.4,,5.95,1.000,5.95,LEFT,808,782,819,787
