timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,distance_to_start,lookahead_east,lookahead_north,cross_track_error,alpha_deg,bearing,heading_vs_cog_error,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed,t_monotonic_ms,guidance_mode,geometry_class,geometry_reason,signed_cross_track,heading_err_to_tangent,ref_tangent_deg,ref_tangent_confidence,raw_curvature,cmd_curvature,curvature_saturated,curvature_slew_limited,capture_active,intersect_s,intersect_w,speed_limited,formula_used,raw_gary_curvature,raw_gary_radius,final_cmd_curvature,final_desired_turn_radius,current_target_index,next_target_index,gary_A,gary_B,target_advanced,gary_IA,gary_offset_distance,DC,DT,gary_along_to_next_m,target_advance_reason
2026-09-06 10:00:00,FOLLOW_TRACK,37.9008628333,-97.6642086667,-3.8663187836003017,-3.078269923676512,85.45924,2.5,0.009259992,0.00,0.00,0,4.942,0.00,0.00,4.942,-46.9,38.5,,3.38,0.750,3.31,LEFT,822,701,1089,1095,,inf,0.0,0.671,0.829,0.672,0.828,528,gary_arrows,TANGENT_ARC,step 9: DTR = s/tan(|IA|/2) = 2.93/tan(82.9/2),-2.905,-82.9,2.5,1.00,-0.3019,-0.3019,0,0,0,2.93,-3.64,0,GARY_ARC,0.3019,3.31,-0.3019,3.31,0,1,5.215,0.333,0,-82.9,3.610,2.927,-3.638,-3.998,NONE
2026-09-06 10:00:00,FOLLOW_TRACK,37.900863,-97.6642086667,-3.8478159845939777,-3.078269916732816,85.0337,2.5,0.008745548,0.00,0.00,0,4.928,0.00,0.00,4.928,-46.4,38.7,,3.40,0.750,3.34,LEFT,822,701,1089,1091,,inf,0.0,0.671,0.829,0.673,0.827,591,gary_arrows,TANGENT_ARC,step 9: DTR = s/tan(|IA|/2) = 2.93/tan(82.5/2),-2.906,-82.5,2.5,1.00,-0.2993,-0.2993,0,0,0,2.93,-3.60,0,GARY_ARC,0.2993,3.34,-0.2993,3.34,0,1,5.201,0.333,0,-82.5,3.567,2.931,-3.598,-3.979,NONE
2026-09-06 10:00:01,FOLLOW_TRACK,37.900863,-97.6642086667,-3.8478159845939777,-3.078269916732816,85.22914,2.5,0.0061733280000000005,0.00,0.00,0,4.928,0.00,0.00,4.928,-46.6,38.7,,3.39,0.750,3.33,LEFT,822,701,1039,1042,-69.52,inf,0.0,0.671,0.829,0.673,0.827,802,gary_arrows,TANGENT_ARC,step 9: DTR = s/tan(|IA|/2) = 2.93/tan(82.7/2),-2.906,-82.7,2.5,1.00,-0.3004,-0.3004,0,0,0,2.93,-3.61,0,GARY_ARC,0.3004,3.33,-0.3004,3.33,0,1,5.201,0.333,0,-82.7,3.578,2.930,-3.608,-3.979,NONE
2026-09-06 10:00:01,FOLLOW_TRACK,37.900863,-97.6642086667,-3.8478159845939777,-3.078269916732816,85.54744,2.5,0.007202216,0.00,0.00,0,4.928,0.00,0.00,4.928,-46.9,38.7,,3.38,0.750,3.31,LEFT,823,700,949,945,68.51,inf,0.0,0.671,0.829,0.672,0.828,990,gary_arrows,TANGENT_ARC,step 9: DTR = s/tan(|IA|/2) = 2.93/tan(83.0/2),-2.906,-83.0,2.5,1.00,-0.3023,-0.3023,0,0,0,2.93,-3.62,0,GARY_ARC,0.3023,3.31,-0.3023,3.31,0,1,5.201,0.333,0,-83.0,3.597,2.928,-3.624,-3.979,NONE
2026-09-06 10:00:01,FOLLOW_TRACK,37.9008628333,-97.6642085,-3.8663187892145445,-3.0636085641309503,83.99512,2.5,0.076137712,0.00,0.00,0,4.933,0.00,0.00,4.933,-45.6,38.4,,3.45,0.750,3.39,LEFT,821,702,859,843,21.33,inf,0.0,0.673,0.827,0.674,0.826,1184,gary_arrows,TANGENT_ARC,step 9: DTR = s/tan(|IA|/2) = 2.92/tan(81.5/2),-2.891,-81.5,2.5,1.00,-0.2947,-0.2947,0,0,0,2.92,-3.56,0,GARY_ARC,0.2947,3.39,-0.2947,3.39,0,1,5.207,0.333,0,-81.5,3.525,2.923,-3.564,-3.997,NONE
2026-09-06 10:00:01,FOLLOW_TRACK,37.9008631667,-97.6642078333,-3.8293132116709154,-3.0049719052333366,78.85338,2.5,0.321013056,0.00,0.00,0,4.868,0.00,0.00,4.868,-40.7,38.1,,3.73,0.750,3.71,LEFT,816,707,835,742,4.14,0.74,0.0,0.679,0.821,0.680,0.820,1391,gary_arrows,TANGENT_ARC,step 9: DTR = s/tan(|IA|/2) = 2.92/tan(76.3/2),-2.834,-76.3,2.5,1.00,-0.2695,-0.2695,0,0,0,2.92,-3.27,0,GARY_ARC,0.2695,3.71,-0.2695,3.71,0,1,5.142,0.333,0,-76.3,3.176,2.916,-3.269,-3.958,NONE
2026-09-06 10:00:01,FOLLOW_TRACK,37.9008633333,-97.6642063333,-3.810821557425752,-2.873046046113732,74.38244,2.5,0.5237039920000001,0.00,0.00,0,4.772,0.00,0.00,4.772,-37.4,37.0,3.2,3.93,0.750,3.92,LEFT,813,710,828,715,3.51,1.46,0.0,0.683,0.817,0.683,0.817,1611,gary_arrows,TANGENT_ARC,step 9: DTR = s/tan(|IA|/2) = 2.84/tan(71.9/2),-2.703,-71.9,2.5,1.00,-0.2548,-0.2548,0,0,0,2.84,-3.05,0,GARY_ARC,0.2548,3.92,-0.2548,3.92,0,1,5.051,0.333,0,-71.9,2.897,2.844,-3.048,-3.934,NONE
2026-09-06 10:00:02,FOLLOW_TRACK,37.9008636667,-97.6642046667,-3.773816008435442,-2.726467615706754,68.57994,2.5,0.738741584,0.00,0.00,0,4.656,0.00,0.00,4.656,-32.7,35.8,6.2,4.31,0.750,inf,STRAIGHT,762,762,824,714,3.62,1.50,0.0,0.750,0.750,0.750,0.750,1814,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=2.80 > |w|=2.75),-2.558,-66.1,2.5,1.00,0.0000,0.0000,0,0,0,2.80,-2.75,0,GARY_STRAIGHT,,,0.0000,inf,0,1,4.938,0.333,0,-66.1,2.517,2.799,-2.754,-3.890,NONE
2026-09-06 10:00:02,FOLLOW_TRACK,37.9008641667,-97.664203,-3.7183187548932484,-2.57988038603802,64.25362,2.5,0.70993272,0.00,0.00,0,4.526,0.00,0.00,4.526,-29.5,34.8,4.9,4.60,0.750,inf,STRAIGHT,762,762,812,721,4.40,1.59,0.0,0.750,0.750,0.750,0.750,1984,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=2.74 > |w|=2.53),-2.414,-61.7,2.5,1.00,0.0000,0.0000,0,0,0,2.74,-2.53,0,GARY_STRAIGHT,,,0.0000,inf,0,1,4.811,0.333,0,-61.7,2.229,2.741,-2.530,-3.828,NONE
2026-09-06 10:00:02,FOLLOW_TRACK,37.9008645,-97.6642013333,-3.681324299251995,-2.4332931639075217,58.83407,2.5,0.685753852,0.00,0.00,0,4.413,0.00,0.00,4.413,-25.4,33.5,16.2,5.15,0.750,inf,STRAIGHT,762,762,779,753,15.41,1.52,0.0,0.750,0.750,0.750,0.750,2194,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=2.73 > |w|=2.27),-2.269,-56.3,2.5,1.00,0.0000,0.0000,0,0,0,2.73,-2.27,0,GARY_STRAIGHT,,,0.0000,inf,0,1,4.702,0.333,0,-56.3,1.891,2.727,-2.272,-3.785,NONE
