timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,distance_to_start,lookahead_east,lookahead_north,cross_track_error,alpha_deg,bearing,heading_vs_cog_error,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed,t_monotonic_ms,guidance_mode,geometry_class,geometry_reason,signed_cross_track,heading_err_to_tangent,ref_tangent_deg,ref_tangent_confidence,raw_curvature,cmd_curvature,curvature_saturated,curvature_slew_limited,capture_active,intersect_s,intersect_w,speed_limited
2026-08-23 11:33:14,FOLLOW_ACQUIRE,37.9008491667,-97.6642136667,-2.4603723979254486,-2.9610059751338347,74.77209,3.8,0.004115552,0.00,0.00,0,3.850,0.00,0.00,3.850,-24.5,50.3,,4.64,0.756,4.64,LEFT,801,713,1091,1094,,inf,0.0,0.699,0.813,0.699,0.813,258,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:14,FOLLOW_ACQUIRE,37.9008491667,-97.6642136667,-2.4603723979254486,-2.9610059751338347,74.62081,3.8,0.0061733280000000005,0.00,0.00,0,3.850,0.00,0.00,3.850,-24.3,50.3,,4.67,0.756,4.67,LEFT,800,713,1074,1077,,inf,0.0,0.699,0.813,0.699,0.813,456,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:14,FOLLOW_ACQUIRE,37.9008491667,-97.6642135,-2.460372403477853,-2.9463446129169752,74.59466,3.8,0.0056588839999999994,0.00,0.00,0,3.839,0.00,0.00,3.839,-24.5,50.1,,4.64,0.756,4.64,LEFT,801,713,981,977,62.91,inf,0.0,0.699,0.813,0.699,0.813,652,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:14,FOLLOW_ACQUIRE,37.9008491667,-97.6642135,-2.460372403477853,-2.9463446129169752,74.50814,3.8,0.010803324000000001,0.00,0.00,0,3.839,0.00,0.00,3.839,-24.4,50.1,,4.65,0.756,4.65,LEFT,801,713,883,874,35.77,inf,0.0,0.699,0.813,0.699,0.813,856,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:15,FOLLOW_ACQUIRE,37.9008491667,-97.6642135,-2.460372403477853,-2.9463446129169752,75.25,3.8,0.06842105200000001,0.00,0.00,0,3.839,0.00,0.00,3.839,-25.1,50.1,,4.52,0.756,4.52,LEFT,802,712,818,767,7.49,inf,0.0,0.698,0.815,0.698,0.815,1065,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:15,FOLLOW_ACQUIRE,37.9008495,-97.6642125,-2.423377934709512,-2.858394015279482,73.92807,3.8,0.44756628,0.00,0.00,0,3.747,0.00,0.00,3.747,-24.2,49.7,,4.57,0.756,4.57,LEFT,801,712,814,728,4.62,3.52,0.0,0.698,0.814,0.698,0.814,1246,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:15,FOLLOW_ACQUIRE,37.9008498333,-97.6642106667,-2.3863834877649586,-2.69715419454349,72.75093,3.8,0.774752664,0.00,0.00,0,3.601,0.00,0.00,3.601,-24.3,48.5,8.7,4.38,0.756,4.38,LEFT,803,710,811,718,4.32,7.82,0.0,0.696,0.816,0.696,0.816,1455,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:15,FOLLOW_ACQUIRE,37.9008501667,-97.6642086667,-2.3493779435866355,-2.5212530141357465,70.8729,3.8,0.875583688,0.00,0.00,0,3.446,0.00,0.00,3.446,-23.9,47.0,10.4,4.26,0.756,4.26,LEFT,805,709,811,718,4.32,5.44,0.0,0.694,0.818,0.694,0.818,1656,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:15,FOLLOW_ACQUIRE,37.9008501667,-97.6642071667,-2.3493779832097657,-2.389327137134288,67.73783,3.8,0.642540556,0.00,0.00,0,3.351,0.00,0.00,3.351,-22.3,45.5,10.5,4.42,0.756,4.42,LEFT,803,711,811,716,4.24,2.35,0.0,0.696,0.816,0.696,0.816,1856,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:16,FOLLOW_ACQUIRE,37.9008503333,-97.6642053333,-2.3308863289882016,-2.2280785310604343,65.36598,3.8,0.827740396,0.00,0.00,0,3.224,0.00,0.00,3.224,-21.7,43.7,17.6,4.37,0.756,4.37,LEFT,803,710,811,715,4.20,4.29,0.0,0.695,0.817,0.695,0.817,2073,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:16,FOLLOW_ACQUIRE,37.9008505,-97.6642038333,-2.3123835627441727,-2.096152649817995,60.33873,3.8,0.696042732,0.00,0.00,0,3.121,0.00,0.00,3.121,-18.1,42.2,18.1,5.01,0.756,5.01,LEFT,798,716,811,715,4.20,1.46,0.0,0.703,0.809,0.703,0.809,2257,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:16,FOLLOW_ACQUIRE,37.9008513333,-97.6642021667,-2.2198917992008393,-1.9495741854203759,55.467,3.8,0.807162636,0.00,0.00,0,2.954,0.00,0.00,2.954,-14.2,41.3,11.2,6.03,0.756,6.03,LEFT,791,723,810,716,4.29,1.88,0.0,0.712,0.800,0.712,0.800,2453,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:16,FOLLOW_ACQUIRE,37.9008515,-97.6642005,-2.2013890309615487,-1.8029869458832792,52.59159,3.8,0.736169364,0.00,0.00,0,2.846,0.00,0.00,2.846,-13.3,39.3,22.5,6.20,0.756,6.20,LEFT,790,724,804,722,4.91,3.00,0.0,0.713,0.799,0.713,0.799,2658,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:16,FOLLOW_ACQUIRE,37.9008521667,-97.664199,-2.1273889589729507,-1.6710610549731897,48.25455,3.8,0.7526315720000001,0.00,0.00,0,2.705,0.00,0.00,2.705,-10.1,38.1,8.7,7.71,0.756,7.71,LEFT,783,730,800,722,5.18,1.98,0.0,0.722,0.790,0.722,0.790,2856,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:17,FOLLOW_ACQUIRE,37.9008531667,-97.6641978333,-2.0163943773244286,-1.5684490901112127,41.82559,3.8,0.7485160200000001,0.00,0.00,0,2.555,0.00,0.00,2.555,-3.9,37.9,-2.2,18.55,0.756,18.55,LEFT,768,746,795,722,5.56,1.33,0.0,0.742,0.770,0.742,0.770,3057,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:17,FOLLOW_ACQUIRE,37.900854,-97.6641965,-1.9239025984097822,-1.451184565752088,36.86384,3.8,0.71764938,0.00,0.00,0,2.410,0.00,0.00,2.410,0.2,37.0,21.1,inf,0.756,inf,STRAIGHT,757,757,785,728,7.15,1.68,0.0,0.756,0.756,0.756,0.756,3257,tangent_pose,,,,,,,,,0,0,0,,,0
2026-08-23 11:33:17,FOLLOW_ACQUIRE,37.900855,-97.6641953333,-1.8129080145290903,-1.3485726049900726,35.71713,3.8,0.711476052,0.00,0.00,0,2.259,0.00,0.00,2.259,0.9,36.6,0.8,inf,0.756,inf,STRAIGHT,757,757,774,745,13.97,6.92,0.0,0.756,0.756,0.756,0.756,3454,tangent_pose,,,,,,,,,0,0,0,,,0
