timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,target_rel_east,target_rel_north,segment_index,distance_to_start,lookahead_east,lookahead_north,cross_track_error,alpha_deg,bearing,heading_vs_cog_error,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed,t_monotonic_ms,guidance_mode,geometry_class,geometry_reason,signed_cross_track,heading_err_to_tangent,ref_tangent_deg,ref_tangent_confidence,raw_curvature,cmd_curvature,curvature_saturated,curvature_slew_limited,capture_active,intersect_s,intersect_w,speed_limited,formula_used,raw_gary_curvature,raw_gary_radius,final_cmd_curvature,final_desired_turn_radius,current_target_index,next_target_index,gary_A,gary_B,target_advanced,gary_IA,gary_offset_distance,DC,DT,gary_along_to_next_m,target_advance_reason
2026-09-13 11:28:32,FOLLOW_TRACK,37.9008663333,-97.6641941667,-3.4778380579110024,-1.8029865840617765,66.7186,2.5,0.00514444,0.00,0.00,0.000,0.000,0,3.917,0.00,0.00,3.917,-39.3,27.4,,3.09,0.750,2.92,LEFT,831,692,1093,1094,,inf,0.0,0.660,0.840,0.665,0.835,346,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.83/tan(64.2/2) = 2.92m, turning -64.2deg into the Target Vector (w=-2.76, not used)",-1.648,-64.2,2.5,1.00,-0.3426,-0.3426,0,0,0,1.83,-2.76,0,GARY_LH_ARC,-0.3426,2.92,-0.3426,2.92,0,1,4.222,0.333,0,-64.2,2.482,1.831,-2.757,-3.554,NONE
2026-09-13 11:28:32,FOLLOW_TRACK,37.9008663333,-97.6641943333,-3.4778380549654297,-1.8176391491485213,66.83532,2.5,0.007202216,0.00,0.00,0.000,0.000,0,3.924,0.00,0.00,3.924,-39.2,27.6,,3.10,0.750,2.94,LEFT,830,693,1080,1081,,inf,0.0,0.661,0.839,0.665,0.835,526,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.85/tan(64.3/2) = 2.94m, turning -64.3deg into the Target Vector (w=-2.75, not used)",-1.663,-64.3,2.5,1.00,-0.3407,-0.3407,0,0,0,1.85,-2.75,0,GARY_LH_ARC,-0.3407,2.94,-0.3407,2.94,0,1,4.228,0.333,0,-64.3,2.482,1.845,-2.755,-3.554,NONE
2026-09-13 11:28:33,FOLLOW_TRACK,37.9008661667,-97.6641941667,-3.4963297591410876,-1.802986588136576,67.14395,2.5,0.011832212,0.00,0.00,0.000,0.000,0,3.934,0.00,0.00,3.934,-39.9,27.3,,3.07,0.750,2.88,LEFT,832,692,982,979,83.52,inf,0.0,0.659,0.841,0.664,0.836,740,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.82/tan(64.6/2) = 2.88m, turning -64.6deg into the Target Vector (w=-2.79, not used)",-1.647,-64.6,2.5,1.00,-0.3469,-0.3469,0,0,0,1.82,-2.79,0,GARY_LH_ARC,-0.3469,2.88,-0.3469,2.88,0,1,4.239,0.333,0,-64.6,2.521,1.823,-2.791,-3.572,NONE
2026-09-13 11:28:33,FOLLOW_TRACK,37.9008661667,-97.6641941667,-3.4963297591410876,-1.802986588136576,67.43464,2.5,0.00514444,0.00,0.00,0.000,0.000,0,3.934,0.00,0.00,3.934,-40.2,27.3,,3.05,0.750,2.86,LEFT,832,691,890,884,52.67,inf,0.0,0.658,0.842,0.664,0.836,929,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.82/tan(64.9/2) = 2.86m, turning -64.9deg into the Target Vector (w=-2.80, not used)",-1.647,-64.9,2.5,1.00,-0.3496,-0.3496,0,0,0,1.82,-2.80,0,GARY_LH_ARC,-0.3496,2.86,-0.3496,2.86,0,1,4.239,0.333,0,-64.9,2.537,1.819,-2.801,-3.572,NONE
2026-09-13 11:28:33,FOLLOW_TRACK,37.9008661667,-97.6641936667,-3.496329768317073,-1.7590113063457022,66.29597,2.5,0.176454292,0.00,0.00,0.000,0.000,0,3.914,0.00,0.00,3.914,-39.6,26.7,,3.07,0.750,2.87,LEFT,832,691,849,787,5.88,1.74,0.0,0.659,0.841,0.665,0.835,1126,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.79/tan(63.8/2) = 2.87m, turning -63.8deg into the Target Vector (w=-2.78, not used)",-1.604,-63.8,2.5,1.00,-0.3480,-0.3480,0,0,0,1.79,-2.78,0,GARY_LH_ARC,-0.3480,2.87,-0.3480,2.87,0,1,4.220,0.333,0,-63.8,2.494,1.788,-2.780,-3.570,NONE
2026-09-13 11:28:33,FOLLOW_TRACK,37.9008665,-97.6641926667,-3.459335286357065,-1.6710607333695464,63.83882,2.5,0.430075184,0.00,0.00,0.000,0.000,0,3.842,0.00,0.00,3.842,-38.1,25.8,,3.12,0.750,2.92,LEFT,831,692,842,711,3.00,1.97,0.0,0.660,0.840,0.666,0.834,1322,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.73/tan(61.3/2) = 2.92m, turning -61.3deg into the Target Vector (w=-2.70, not used)",-1.517,-61.3,2.5,1.00,-0.3428,-0.3428,0,0,0,1.73,-2.70,0,GARY_LH_ARC,-0.3428,2.92,-0.3428,2.92,0,1,4.150,0.333,0,-61.3,2.368,1.729,-2.699,-3.529,NONE
2026-09-13 11:28:33,FOLLOW_TRACK,37.9008668333,-97.6641915,-3.422340805513463,-1.5684488023029883,62.9855,2.5,0.578235056,0.00,0.00,0.000,0.000,0,3.765,0.00,0.00,3.765,-38.4,24.6,5.9,3.03,0.750,2.79,LEFT,834,689,839,699,2.85,8.38,0.0,0.656,0.844,0.663,0.837,1539,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.63/tan(60.5/2) = 2.79m, turning -60.5deg into the Target Vector (w=-2.69, not used)",-1.416,-60.5,2.5,1.00,-0.3580,-0.3580,0,0,0,1.63,-2.69,0,GARY_LH_ARC,-0.3580,2.79,-0.3580,2.79,0,1,4.075,0.333,0,-60.5,2.337,1.628,-2.686,-3.488,NONE
2026-09-13 11:28:34,FOLLOW_TRACK,37.9008675,-97.6641901667,-3.3483407267699863,-1.451184300524599,60.87308,2.5,0.680609412,0.00,0.00,0.000,0.000,0,3.649,0.00,0.00,3.649,-37.4,23.4,11.4,3.00,0.750,2.74,LEFT,835,688,839,695,2.78,3.91,0.0,0.654,0.846,0.663,0.837,1750,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.53/tan(58.4/2) = 2.74m, turning -58.4deg into the Target Vector (w=-2.61, not used)",-1.302,-58.4,2.5,1.00,-0.3649,-0.3649,0,0,0,1.53,-2.61,0,GARY_LH_ARC,-0.3649,2.74,-0.3649,2.74,0,1,3.962,0.333,0,-58.4,2.219,1.530,-2.606,-3.409,NONE
2026-09-13 11:28:34,FOLLOW_TRACK,37.9008678333,-97.6641888333,-3.311346246156769,-1.3339110146158126,57.4732,2.5,0.6116739160000001,0.00,0.00,0.000,0.000,0,3.570,0.00,0.00,3.570,-35.5,21.9,17.6,3.07,0.750,2.79,LEFT,834,689,839,693,2.74,1.82,0.0,0.656,0.844,0.665,0.835,1925,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.45/tan(55.0/2) = 2.79m, turning -55.0deg into the Target Vector (w=-2.53, not used)",-1.187,-55.0,2.5,1.00,-0.3587,-0.3587,0,0,0,1.45,-2.53,0,GARY_LH_ARC,-0.3587,2.79,-0.3587,2.79,0,1,3.886,0.333,0,-55.0,2.075,1.450,-2.534,-3.367,NONE
2026-09-13 11:28:34,FOLLOW_TRACK,37.9008686667,-97.6641875,-3.2188433636259295,-1.216646514075985,51.7787,2.5,0.675464972,0.00,0.00,0.000,0.000,0,3.441,0.00,0.00,3.441,-31.1,20.7,-0.2,3.33,0.750,3.09,LEFT,827,696,839,693,2.74,1.35,0.0,0.665,0.835,0.671,0.829,2125,gary_arrows,FORWARD_INTERSECT,"forward intersection: DTR = s/tan(|HC|/2) = 1.42/tan(49.3/2) = 3.09m, turning -49.3deg into the Target Vector (w=-2.34, not used)",-1.074,-49.3,2.5,1.00,-0.3234,-0.3234,0,0,0,1.42,-2.34,0,GARY_LH_ARC,-0.3234,3.09,-0.3234,3.09,0,1,3.759,0.333,0,-49.3,1.776,1.417,-2.344,-3.269,NONE
