timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,segment_index,distance_to_start,lookahead_east,lookahead_north,cross_track_error,alpha_deg,bearing,heading_vs_cog_error,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed,t_monotonic_ms,guidance_mode,geometry_class,geometry_reason,signed_cross_track,heading_err_to_tangent,ref_tangent_deg,ref_tangent_confidence,raw_curvature,cmd_curvature,curvature_saturated,curvature_slew_limited,capture_active,intersect_s,intersect_w,speed_limited,formula_used,raw_gary_curvature,raw_gary_radius,final_cmd_curvature,final_desired_turn_radius,current_target_index,next_target_index,gary_A,gary_B,target_advanced,gary_IA,gary_offset_distance,DC,DT
2026-08-30 10:38:06,FOLLOW_TRACK,37.9008713333,-97.6642363333,1.4962196052624725e-06,-4.954545229862347,86.34474,3.8,0.004629996,0.00,0.00,0,4.955,0.00,0.00,4.955,3.7,90.0,,38.86,0.756,1.24,RIGHT,593,921,1092,1097,,inf,0.0,0.970,0.542,0.763,0.749,371,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.95/4, toward the arrow",-4.944,-82.6,3.8,1.00,0.8073,0.8073,0,0,0,4.99,0.32,0,GARY_FALLBACK_DC4,,,0.8073,1.24,0,1,5.043,0.667,0,-82.6,0.316,4.986,0.319
2026-08-30 10:38:06,FOLLOW_TRACK,37.9008713333,-97.6642363333,1.4962196052624725e-06,-4.954545229862347,86.36056,3.8,0.0030866640000000002,0.00,0.00,0,4.955,0.00,0.00,4.955,3.6,90.0,,39.03,0.756,1.24,RIGHT,593,921,1087,1090,,inf,0.0,0.970,0.542,0.763,0.749,448,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.95/4, toward the arrow",-4.944,-82.6,3.8,1.00,0.8073,0.8073,0,0,0,4.99,0.32,0,GARY_FALLBACK_DC4,,,0.8073,1.24,0,1,5.043,0.667,0,-82.6,0.315,4.985,0.317
2026-08-30 10:38:06,FOLLOW_TRACK,37.9008713333,-97.6642363333,1.4962196052624725e-06,-4.954545229862347,86.29856,3.8,0.008231104,0.00,0.00,0,4.955,0.00,0.00,4.955,3.7,90.0,,38.37,0.756,1.24,RIGHT,593,921,1045,1048,-68.12,inf,0.0,0.970,0.542,0.763,0.749,641,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.95/4, toward the arrow",-4.944,-82.5,3.8,1.00,0.8073,0.8073,0,0,0,4.99,0.32,0,GARY_FALLBACK_DC4,,,0.8073,1.24,0,1,5.043,0.667,0,-82.5,0.320,4.986,0.323
2026-08-30 10:38:06,FOLLOW_TRACK,37.9008713333,-97.6642363333,1.4962196052624725e-06,-4.954545229862347,86.3086,3.8,0.003601108,0.00,0.00,0,4.955,0.00,0.00,4.955,3.7,90.0,,38.48,0.756,1.24,RIGHT,593,921,950,951,-271.57,inf,0.0,0.970,0.542,0.763,0.749,834,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.95/4, toward the arrow",-4.944,-82.5,3.8,1.00,0.8073,0.8073,0,0,0,4.99,0.32,0,GARY_FALLBACK_DC4,,,0.8073,1.24,0,1,5.043,0.667,0,-82.5,0.319,4.986,0.322
2026-08-30 10:38:06,FOLLOW_TRACK,37.9008713333,-97.6642361667,1.4877458763652264e-06,-4.939892666870581,86.37148,3.8,0.08488326,0.00,0.00,0,4.940,0.00,0.00,4.940,3.6,90.0,,39.03,0.756,1.23,RIGHT,592,922,857,930,-4.27,inf,0.0,0.970,0.542,0.763,0.749,1028,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.94/4, toward the arrow",-4.929,-82.6,3.8,1.00,0.8097,0.8097,0,0,0,4.97,0.32,0,GARY_FALLBACK_DC4,,,0.8097,1.23,0,1,5.028,0.667,0,-82.6,0.313,4.971,0.315
2026-08-30 10:38:06,FOLLOW_TRACK,37.9008715,-97.6642358333,0.01850426869314569,-4.910569940246702,86.02262,3.8,0.186228728,0.00,0.00,0,4.911,0.00,0.00,4.911,4.2,90.2,,33.58,0.756,1.23,RIGHT,591,923,757,927,-2.04,6.40,0.0,0.972,0.541,0.764,0.748,1238,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.91/4, toward the arrow",-4.901,-82.2,3.8,1.00,0.8146,0.8146,0,0,0,4.95,0.36,0,GARY_FALLBACK_DC4,,,0.8146,1.23,0,1,4.997,0.667,0,-82.2,0.359,4.946,0.362
2026-08-30 10:38:07,FOLLOW_TRACK,37.900872,-97.6642351667,0.07400153410933838,-4.851942063583637,86.29974,3.8,0.387376332,0.00,0.00,0,4.853,0.00,0.00,4.853,4.6,90.9,,30.42,0.756,1.21,RIGHT,589,925,657,927,-1.42,16.64,0.0,0.974,0.538,0.765,0.747,1444,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.85/4, toward the arrow",-4.846,-82.5,3.8,1.00,0.8243,0.8243,0,0,0,4.89,0.39,0,GARY_FALLBACK_DC4,,,0.8243,1.21,0,1,4.932,0.667,0,-82.5,0.387,4.888,0.390
2026-08-30 10:38:07,FOLLOW_TRACK,37.9008725,-97.6642341667,0.12949878323166386,-4.763991473838359,85.63476,3.8,0.448595168,0.00,0.00,0,4.766,0.00,0.00,4.766,5.9,91.6,,23.09,0.756,1.19,RIGHT,586,928,606,927,-1.25,7.74,0.0,0.978,0.534,0.768,0.745,1644,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.77/4, toward the arrow",-4.762,-81.9,3.8,1.00,0.8393,0.8393,0,0,0,4.81,0.50,0,GARY_FALLBACK_DC4,,,0.8393,1.19,0,1,4.838,0.667,0,-81.9,0.492,4.811,0.497
2026-08-30 10:38:07,FOLLOW_TRACK,37.9008731667,-97.6642328333,0.2034988174411892,-4.6467181588089845,86.61412,3.8,0.680609412,0.00,0.00,0,4.651,0.00,0.00,4.651,5.9,92.5,-34.1,22.65,0.756,1.16,RIGHT,582,932,599,928,-1.22,7.92,0.0,0.984,0.528,0.768,0.744,1844,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.65/4, toward the arrow",-4.650,-82.8,3.8,1.00,0.8600,0.8600,0,0,0,4.69,0.48,0,GARY_FALLBACK_DC4,,,0.8600,1.16,0,1,4.713,0.667,0,-82.8,0.478,4.687,0.481
2026-08-30 10:38:07,FOLLOW_TRACK,37.9008741667,-97.6642318333,0.3144933700371575,-4.558767538592605,87.1375,3.8,0.6363672280000001,0.01,0.00,0,4.570,0.00,0.00,4.570,6.8,93.9,-45.1,19.27,0.756,1.14,RIGHT,579,935,593,932,-1.19,13.30,0.0,0.988,0.524,0.770,0.742,2034,gary_arrows,INTERSECT_AHEAD_OF_TARGET,"step 11: DTR = dist(C,T)/4 = 4.57/4, toward the arrow",-4.570,-83.4,3.8,1.00,0.8753,0.8753,0,0,0,4.60,0.55,0,GARY_FALLBACK_DC4,,,0.8753,1.14,0,1,4.616,0.667,0,-83.4,0.542,4.600,0.545
