timestamp,state,latitude,longitude,rel_north,rel_east,heading,desired_heading,speed,path_progress_m,target_progress_m,target_rel_east,target_rel_north,segment_index,distance_to_start,lookahead_east,lookahead_north,cross_track_error,alpha_deg,bearing,heading_vs_cog_error,calculated_turn_radius,desired_speed,desired_turn_radius,turn_direction,desired_left_actuator_position,desired_right_actuator_position,actual_left_actuator_position,actual_right_actuator_position,actuator_est_radius,gps_achieved_radius,dwell_remaining_s,desired_left_wheel_speed,desired_right_wheel_speed,calculated_left_wheel_speed,calculated_right_wheel_speed,t_monotonic_ms,guidance_mode,geometry_class,geometry_reason,signed_cross_track,heading_err_to_tangent,ref_tangent_deg,ref_tangent_confidence,raw_curvature,cmd_curvature,curvature_saturated,curvature_slew_limited,capture_active,intersect_s,intersect_w,speed_limited,formula_used,raw_gary_curvature,raw_gary_radius,final_cmd_curvature,final_desired_turn_radius,current_target_index,next_target_index,gary_A,gary_B,target_advanced,gary_IA,gary_offset_distance,DC,DT,gary_along_to_next_m,target_advance_reason
2026-09-06 11:27:23,FOLLOW_TRACK,37.9008621667,-97.6642181667,-3.9403074298341187,-3.9138003664130383,80.65417,2.5,0.007202216,0.00,0.00,0.000,0.000,0,5.554,0.00,0.00,5.554,-35.8,44.8,,4.74,0.750,inf,STRAIGHT,762,762,1109,1102,,inf,0.0,0.750,0.750,0.750,0.750,412,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.82 > |w|=3.32),-3.737,-78.1,2.5,1.00,0.0000,0.0000,0,0,0,3.82,-3.32,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.805,0.333,0,-78.1,3.252,3.818,-3.323,-4.109,NONE
2026-09-06 11:27:23,FOLLOW_TRACK,37.9008621667,-97.6642181667,-3.9403074298341187,-3.9138003664130383,80.84622,2.5,0.003601108,0.00,0.00,0.000,0.000,0,5.554,0.00,0.00,5.554,-36.0,44.8,,4.72,0.750,inf,STRAIGHT,762,762,1080,1076,,inf,0.0,0.750,0.750,0.750,0.750,631,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.82 > |w|=3.34),-3.737,-78.3,2.5,1.00,0.0000,0.0000,0,0,0,3.82,-3.34,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.805,0.333,0,-78.3,3.268,3.816,-3.337,-4.109,NONE
2026-09-06 11:27:23,FOLLOW_TRACK,37.9008621667,-97.6642181667,-3.9403074298341187,-3.9138003664130383,80.15574,2.5,0.0061733280000000005,0.00,0.00,0.000,0.000,0,5.554,0.00,0.00,5.554,-35.3,44.8,,4.80,0.750,inf,STRAIGHT,762,762,987,980,35.50,inf,0.0,0.750,0.750,0.750,0.750,817,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.83 > |w|=3.29),-3.737,-77.6,2.5,1.00,0.0000,0.0000,0,0,0,3.83,-3.29,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.805,0.333,0,-77.6,3.213,3.825,-3.289,-4.109,NONE
2026-09-06 11:27:23,FOLLOW_TRACK,37.9008621667,-97.6642181667,-3.9403074298341187,-3.9138003664130383,80.58494,2.5,0.027265532,0.00,0.00,0.000,0.000,0,5.554,0.00,0.00,5.554,-35.8,44.8,,4.75,0.750,inf,STRAIGHT,762,762,884,875,35.70,inf,0.0,0.750,0.750,0.750,0.750,1021,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.82 > |w|=3.32),-3.737,-78.1,2.5,1.00,0.0000,0.0000,0,0,0,3.82,-3.32,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.805,0.333,0,-78.1,3.247,3.819,-3.319,-4.109,NONE
2026-09-06 11:27:24,FOLLOW_TRACK,37.9008621667,-97.6642178333,-3.940307443849909,-3.8844776461240023,78.75579,2.5,0.168737632,0.00,0.00,0.000,0.000,0,5.533,0.00,0.00,5.533,-34.2,44.6,,4.93,0.750,inf,STRAIGHT,762,762,794,785,42.70,1.06,0.0,0.750,0.750,0.750,0.750,1224,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.82 > |w|=3.20),-3.707,-76.2,2.5,1.00,0.0000,0.0000,0,0,0,3.82,-3.20,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.785,0.333,0,-76.2,3.107,3.817,-3.199,-4.107,NONE
2026-09-06 11:27:24,FOLLOW_TRACK,37.9008621667,-97.6642165,-3.9403074985064674,-3.7672131513622924,74.15286,2.5,0.521646216,0.00,0.00,0.000,0.000,0,5.451,0.00,0.00,5.451,-30.4,43.7,16.1,5.38,0.750,inf,STRAIGHT,762,762,774,772,197.91,1.22,0.0,0.750,0.750,0.750,0.750,1412,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.78 > |w|=2.91),-3.590,-71.6,2.5,1.00,0.0000,0.0000,0,0,0,3.78,-2.91,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.706,0.333,0,-71.6,2.762,3.783,-2.910,-4.102,NONE
2026-09-06 11:27:24,FOLLOW_TRACK,37.9008623333,-97.6642148333,-3.92181586444277,-3.6206259279855226,69.05417,2.5,0.66620498,0.00,0.00,0.000,0.000,0,5.338,0.00,0.00,5.338,-26.3,42.7,18.3,6.01,0.750,inf,STRAIGHT,762,762,770,768,199.31,1.52,0.0,0.750,0.750,0.750,0.750,1616,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.76 > |w|=2.58),-3.445,-66.5,2.5,1.00,0.0000,0.0000,0,0,0,3.76,-2.58,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.596,0.333,0,-66.5,2.368,3.755,-2.582,-4.077,NONE
2026-09-06 11:27:24,FOLLOW_TRACK,37.9008628333,-97.664213,-3.8663186319828893,-3.4593861259984053,65.54246,2.5,0.760862676,0.00,0.00,0.000,0.000,0,5.188,0.00,0.00,5.188,-23.7,41.8,10.9,6.45,0.750,inf,STRAIGHT,762,762,770,768,199.31,2.58,0.0,0.750,0.750,0.750,0.750,1823,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.69 > |w|=2.34),-3.286,-63.0,2.5,1.00,0.0000,0.0000,0,0,0,3.69,-2.34,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.450,0.333,0,-63.0,2.087,3.687,-2.342,-4.015,NONE
2026-09-06 11:27:24,FOLLOW_TRACK,37.9008635,-97.6642111667,-3.792318598121643,-3.2981463166590825,59.03236,2.5,0.87969924,0.00,0.00,0.000,0.000,0,5.026,0.00,0.00,5.026,-18.0,41.0,13.4,8.12,0.750,inf,STRAIGHT,762,762,770,768,199.31,1.56,0.0,0.750,0.750,0.750,0.750,2027,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.75 > |w|=1.86),-3.128,-56.5,2.5,1.00,0.0000,0.0000,0,0,0,3.75,-1.86,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.291,0.333,0,-56.5,1.555,3.751,-1.864,-3.934,NONE
2026-09-06 11:27:25,FOLLOW_TRACK,37.9008643333,-97.6642095,-3.6998268552824327,-3.1515590686419426,57.46838,2.5,0.800474864,0.00,0.00,0.000,0.000,0,4.860,0.00,0.00,4.860,-17.0,40.4,2.3,8.29,0.750,inf,STRAIGHT,762,762,770,768,199.31,5.58,0.0,0.750,0.750,0.750,0.750,2216,gary_arrows,RUN_STRAIGHT,step 10: arc does not fit yet (s=3.65 > |w|=1.74),-2.986,-54.9,2.5,1.00,0.0000,0.0000,0,0,0,3.65,-1.74,0,GARY_STRAIGHT,,,0.0000,inf,0,1,5.127,0.333,0,-54.9,1.425,3.647,-1.740,-3.835,NONE
